This Filename: ,Regneration_Inventory_Post-Logging_MT 2004.xls,,
Date Created:,,,
Team ID:,ND-11,,


Data contact,Carlos Passos,,
Data were collected in a one time inventory done in January 2004,,,



Column,Column headings,Units,Descriptions
1,ID_number,,Each tree measured within a study sub-plot was given a unique id number
60,Jan-04,Cacau-liso,Theobroma sp,Sterculiaceae,tree,H,33,RILVI,38.5,1.8,5,E,D,bifurcated stem
61,Jan-04,Cacau-liso,Theobroma sp,Sterculiaceae,tree,H,33,RILVI,38,5,8,E,C,None
62,Jan-04,Angelim-amargo,Vatairea sp,Fabaceae,tree,H,33,RILVI,37,3,11,A,D,bifurcated stem
63,Jan-04,Acai,Euterpe precatoria,Arecaceae,palm,H,33,RILVI,51,22,24,B,A,None
64,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,34.7,5,8,D,B,None
65,Jan-04,Embireira,Xylopia sp,Annonaceae,tree,H,33,RILVI,64,6,18,B,D,fallen
66,Jan-04,Caixeta,Simaruba amara Aubl.,Simaroubaceae,tree,H,33,RILVI,35,6,11,C,A,None
67,Jan-04,Canela-de-cutia,Diplokeleba floribunda N. E. Br,Sapindaceae,tree,H,33,RILVI,38,10,15,C,D,standing dead
68,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,33,RILVI,56,5,18,B,A,None
69,Jan-04,Cega-corrente,Not provided,Moraceae,tree,H,33,RILVI,84,22,25,A,A,None
70,Jan-04,Orelha-de-macaco,Enterolobium sp,Mimosaceae,tree,H,33,RILVI,59,7,18,B,C,None
1,Jan-04,Angelim-amargo,Vatairea sp,Fabaceae,tree,H,34,RILVI,47,12,18,D,B,None
1,Jan-04,Not identified,Not provided,Not provided,Not provided,H,34,RILVI,33,15,19,D,C,None
2,Jan-04,Cacau-liso,Theobroma sp,Sterculiaceae,tree,H,34,RILVI,41,2,15,D,C,None
3,Jan-04,Not identified,Not provided,Not provided,Not provided,H,34,RILVI,53.5,7,7,E,D,broken off
4,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,34,RILVI,36,10,16,C,C,None
